cg00000734,CNBP
cg00405769,FAT1
cg00405843,SMO
cg00407944,NOTCH1
cg00408773,TAL1
cg00415389,TRIM24
cg00415939,PICALM
cg00416458,WHSC1
cg00417288,CCND2
cg00418183,NFATC2
cg00420347,JAK1
cg00422120,FEV
cg00425764,MYH11
cg00425885,CAMTA1
cg00429477,ZNF384
cg00432872,AXIN1
cg00437399,CASC5
cg00439089,COL1A1
cg00442282,RARA
cg00444898,MECOM
cg00445232,SMAD3
cg00446472,CBFA2T3
cg00448395,POT1
cg00452133,CAMTA1
cg00452270,PDE4DIP
cg00454749,TAL1
cg00457087,DDR2
cg00459816,ERBB2
cg00460684,MSI2
cg00460789,CBFA2T3
cg00461612,PAX3
cg00462240,PRDM16
cg00463367,GATA3
cg00464519,PAX5
cg00466488,FAM46C
cg00466827,GNAS
cg00468356,TRIM24
cg00469341,ETV1
cg00473051,BCOR
cg00480331,BCL6
cg00483526,CLIP1
cg00486998,MECOM
cg00487159,SOCS1
cg00487831,CBFB
cg00489401,FLT4
cg00489477,CARD11
cg00489539,IKZF1
cg00489902,POLE
cg00489988,POLE
cg00492309,TRAF7
cg00492521,CBFA2T3
cg00492574,KLF4
cg00492741,CBFA2T3
cg00493358,CBFA2T3
cg00495036,ACVR1
cg00495775,HOXD11
cg00496504,RAF1
cg00498219,LRP1B
cg00498434,ERBB4
cg00499475,TBX3
cg00500213,LZTR1
cg00500522,STAT6
cg00500602,TSC2
cg00503920,TRRAP
cg00506250,FHIT
cg00509921,MAF
cg00511107,EGFR
cg00514241,MN1
cg00517511,TBX3
cg00518386,GRIN2A
cg00522034,CBLB
cg00522555,KEAP1
cg00524220,GNA11
cg00525145,FGFR3
cg00528779,NCOR2
cg00531748,KDR
cg00532455,ACVR2A
cg00532890,PBX1
cg00533364,ZNF331
cg00534626,GRIN2A
cg00536175,GATA1
cg00538247,CAMTA1
cg00538248,PTPRT
cg00538591,CBFA2T3
cg00538695,FGFR4
cg00539154,CAMTA1
cg00540828,CUX1
cg00540850,TERT
cg00540891,RET
cg00543073,BCL11A
cg00543485,JUN
cg00543499,EPS15
cg00544436,HMGA1
cg00547441,IKZF1
cg00547758,MSH2
cg00549798,MKL1
cg00553880,PSIP1
cg00555933,PRDM1
cg00556052,WHSC1L1
cg00559992,PIK3R1
cg00563768,TAF15
cg00565124,PDE4DIP
cg00567872,CUX1
cg00569244,JUN
cg00574917,CBFA2T3
cg00575665,MAFB
cg00576086,TERT
cg00577935,APC
cg00578174,RPL5
cg00578304,CARD11
cg00578437,MAPK1
cg00581154,PRDM16
cg00582583,CBFA2T3
cg00584022,KRAS
cg00591844,CXCR4
cg00593111,CBFA2T3
cg00594129,EBF1
cg00594185,RAC1
cg00594844,ATRX
cg00597128,PLAG1
cg00598204,ASPSCR1
cg00601836,ESR1
cg00602726,AXIN1
cg00603435,LRP1B
cg00604410,SMAD3
cg00605240,ERC1
cg00610577,ETV6
cg00611675,MYC
cg00614182,NRG1
cg00614832,ZFHX3
cg00615738,BCOR
cg00618323,FGFR4
cg00619245,NSD1
cg00619497,RB1
cg00619978,FLT4
cg00620024,PPP6C
cg00620552,MSH6
cg00623312,CUX1
cg00623388,BCORL1
cg00624418,TERT
cg00624908,PRDM16
cg00625131,SS18
cg00625963,LCK
cg00628382,TBL1XR1
cg00630237,FES
cg00636416,AFF3
cg00638021,COL1A1
cg00638945,PTCH1
cg00639289,ERBB4
cg00640825,GAS7
cg00643897,ALK
cg00644317,HOXA13
cg00648919,WWTR1
cg00651216,HSP90AB1
cg00655307,ESR1
cg00658016,PIK3CA
cg00658590,FHIT
cg00661620,RPL5
cg00663575,PRDM16
cg00663584,POLE
cg00665827,CAMTA1
cg00666047,MSI2
cg00668559,NFKBIE
cg00672638,ARHGAP26
cg00674265,SOCS1
cg00675600,TERT
cg00675878,BCR
cg00676030,FGFR1
cg00676572,PCM1
cg00685480,PPP6C
cg00686132,MLLT4
cg00686453,AFF3
cg00686595,KIF5B
cg00688421,RAP1GDS1
cg00689211,TMPRSS2
cg00691999,PDGFRA
cg00692559,PRCC
cg00693172,PER1
cg00694888,ERC1
cg00698124,SETBP1
cg00701856,PRDM16
cg00706191,CDH11
cg00706913,PRDM16
cg00707452,FOXP1
cg00710196,MLLT6
cg00711711,CREB3L2
cg00713435,PRDM16
cg00714198,RAF1
cg00715999,PRDM16
cg00716961,CTCF
cg00718452,ARID2
cg00718923,SMAD3
cg00721771,FHIT
cg00724315,WHSC1
cg00728907,TERT
cg00729656,TRRAP
cg00730832,FGFR2
cg00732907,BCL11A
cg00733782,TRIM24
cg00735196,SMAD4
cg00737224,ELL
cg00739644,TMPRSS2
cg00740533,SH2B3
cg00741609,TLX1
cg00743068,ATRX
cg00744656,FOXA1
cg00744924,FLT4
cg00747661,CREBBP
cg00751785,KDM6A
cg00752628,RSPO3
cg00753337,POLE
cg00756860,PDE4DIP
cg00760200,TRIM33
cg00760338,ETV5
cg00761129,PRDM16
cg00761327,PML
cg00762678,CBFA2T3
cg00762711,FUS
cg00762830,CBFA2T3
cg00765144,MLLT10
cg00765705,NCOR2
cg00766482,MLLT1
cg00769251,CDH11
cg00774867,PRDM16
cg00782057,HEY1
cg00782503,CDX2
cg00783553,CAMTA1
cg00784357,RAC1
cg00786657,NTRK3
cg00790672,PRDM16
cg00792185,GRIN2A
cg00794881,PAX7
cg00796424,HOXC11
cg00799984,NDRG1
cg00801360,SET
cg00803088,RET
cg00804097,PRDM16
cg00804392,RHOH
cg00806481,PRDM16
cg00806704,CDX2
cg00807342,VHL
cg00808305,CAMTA1
cg00811166,TERT
cg00812236,TRAF7
cg00813509,NCOR2
cg00814244,MYCN
cg00814733,CCND2
cg00818229,MKL1
cg00819233,DDR2
cg00819818,RARA
cg00821600,LRP1B
cg00824109,CHD4
cg00825967,CBFA2T3
cg00827173,NCOR2
cg00831931,TCF7L2
cg00831970,FCGR2B
cg00833364,ABL2
cg00833688,CAMTA1
cg00837838,B2M
cg00838150,MITF
cg00842918,GAS7
cg00847029,GATA2
cg00847892,TNFAIP3
cg00849570,PRDM16
cg00850756,CCND3
cg00852768,QKI
cg00855990,PAX7
cg00856404,DNMT3A
cg00858899,CCND1
cg00859112,BCL11B
cg00861009,HOXD11
cg00861839,SS18
cg00866309,CHCHD7
cg00866500,FLT4
cg00869941,LPP
cg00873850,PDGFRA
cg00874320,POLE
cg00875200,TRIM27
cg00875272,TAL1
cg00877150,BCOR
cg00877708,ARID1B
cg00879184,MLLT10
cg00886730,DNMT3A
cg00888007,CCND2
cg00890145,PDE4DIP
cg00890208,PAX5
cg00892255,NIN
cg00893242,SND1
cg00894041,PRDM16
cg00894289,LMO2
cg00895834,PRDM16
cg00896043,STK11
cg00898683,DNMT3A
cg00899641,SF3B1
cg00901766,MLLT1
cg00902147,CANT1
cg00902153,LPP
cg00902265,PIK3CA
cg00907204,CDK6
cg00907211,SMO
cg00907267,ERBB3
cg00907756,FGFR3
cg00908120,ZFHX3
cg00908601,FOXO4
cg00908631,CDKN2C
cg00909226,MTOR
cg00910419,BCL11A
cg00910695,RSPO2
cg00910907,MAP2K2
cg00911446,CAMTA1
cg00911488,TET2
cg00911981,ATR
cg00912598,DNMT3A
cg00916255,PRRX1
cg00919118,TCF7L2
cg00919591,BCR
cg00920098,CARD11
cg00920537,PHF6
cg00920970,ESR1
cg00926267,MKL1
cg00929565,CREB3L2
cg00930306,MUC1
cg00931179,QKI
cg00931577,AFF4
cg00935351,CDH1
cg00937335,CIITA
cg00940140,GNAS
cg00941745,EIF3E
cg00943909,GNAS
cg00944599,TRRAP
cg00944785,ARNT
cg00944888,CUX1
cg00947023,MAP2K4
cg00949008,DAXX
cg00950004,TPM3
cg00953256,CCND1
cg00953480,PAX5
cg00954633,CAMTA1
cg00955828,TAL1
cg00955911,FOXA1
cg00956639,SFPQ
cg00957684,CBFA2T3
cg00958304,PCM1
cg00960138,TFEB
cg00962903,MECOM
cg00965748,MAFB
cg00966686,MAP2K2
cg00967294,ARHGAP26
cg00968538,TERT
cg00969565,ASPSCR1
cg00969988,ATR
cg00970757,FOXP1
cg00973118,AXIN1
cg00974579,CBFA2T3
cg00976692,MEN1
cg00978584,CASP8
cg00982535,FAM46C
cg00982974,CUX1
cg00987176,NFKB2
cg00988247,MECOM
cg00989765,KDR
cg00990740,ERG
cg00990763,FAT4
cg00992846,CLIP1
cg00994804,RUNX1
cg00996764,KLK2
cg00997251,ARHGAP26
cg00997327,MTOR
cg00997551,RSPO2
cg00997875,MSN
cg01001098,TAL1
cg01001468,MAF
cg01003382,BCL11A
cg01005582,CTNNB1
cg01005605,BCL11A
cg01007781,SND1
cg01008117,CCND2
cg01010868,PRKACA
cg01010931,CREBBP
cg01012082,NCOA2
cg01012244,SND1
cg01014287,FUBP1
cg01014371,CBFA2T3
cg01016851,PDE4DIP
cg01018726,KEAP1
cg01019746,MSI2
cg01020978,MECOM
cg01021552,CDH11
cg01026300,CBFA2T3
cg01027405,IL7R
cg01028657,PML
cg01029575,CNOT3
cg01031271,TRRAP
cg01036050,ARID1B
cg01040779,FAT1
cg01040890,FLT4
cg01043019,RSPO3
cg01043409,HIST1H3B
cg01045337,AXIN1
cg01046673,NF2
cg01046951,PRDM16
cg01047045,PRDM16
cg01049870,DICER1
cg01049916,FGFR2
cg01052743,MYC
cg01054110,NCOR2
cg01055868,FOXP1
cg01057656,CBLC
cg01057962,BCL6
cg01061590,PPFIBP1
cg01062116,PRDM16
cg01062443,TCF3
cg01063615,TAF15
cg01063813,STAT6
cg01065697,PRDM16
cg01067963,MAPK1
cg01070148,BCL3
cg01071314,PRDM16
cg01078446,TBX3
cg01079872,PRDM16
cg01082602,CAMTA1
cg01083380,MECOM
cg01083584,DNAJB1
cg01084990,CDH11
cg01086868,AR
cg01087775,ATRX
cg01089639,JAK3
cg01093786,MAML2
cg01093854,TET1
cg01093885,CCND2
cg01098785,MDM2
cg01100330,PDGFB
cg01101873,PRDM16
cg01101936,SS18L1
cg01102007,CBL
cg01102073,GATA2
cg01104051,DDX10
cg01104489,PRDM16
cg01104590,CARS
cg01104717,CACNA1D
cg01105356,CIITA
cg01105385,PIK3R1
cg01107741,CANT1
cg01108118,IRF4
cg01109289,AFF3
cg01109633,SUZ12
cg01110765,BCOR
cg01113811,MAML2
cg01113900,MITF
cg01114486,TP63
cg01120308,PICALM
cg01123787,CBFA2T3
cg01131549,NUP214
cg01132484,TBL1XR1
cg01132579,MSI2
cg01135780,EBF1
cg01137672,FOXP1
cg01139861,IKZF1
cg01141252,BCL3
cg01141721,SRC
cg01143426,MPL
cg01143547,CCND3
cg01145389,CDKN2C
cg01145928,MYO5A
cg01146614,EZR
cg01146808,PRDM1
cg01147107,TAL1
cg01147467,ALK
cg01147995,PLCG1
cg01151840,TSC2
cg01152499,FAM46C
cg01156373,ERBB4
cg01157126,FEV
cg01157146,TMPRSS2
cg01162378,CDH11
cg01162550,ETV6
cg01163369,RPN1
cg01165287,XPO1
cg01168289,WT1
cg01168962,CBFA2T3
cg01170486,AFF1
cg01170758,WHSC1
cg01173432,FOXP1
cg01175020,TLX1
cg01177642,NFKB2
cg01178113,ERBB3
cg01180441,PML
cg01181485,FBXW7
cg01181584,BCL6
cg01182555,HIF1A
cg01183650,MSI2
cg01183821,ARID2
cg01184449,EML4
cg01185682,HLF
cg01186551,FOXP1
cg01189917,FOXP1
cg01192077,EBF1
cg01196079,PRDM16
cg01198208,AFF1
cg01202278,MDM2
cg01203549,MYC
cg01203812,PRDM16
cg01204911,ARHGAP26
cg01206923,NPM1
cg01210111,STRN
cg01210909,TET2
cg01212326,POU2AF1
cg01214458,MN1
cg01218690,AR
cg01219426,MAML2
cg01220257,BCL3
cg01220655,FLT4
cg01220822,NOTCH1
cg01222719,PTCH1
cg01223135,MYH11
cg01227359,IDH1
cg01228339,CRTC3
cg01230508,MAX
cg01232145,FOXP1
cg01233736,ACSL3
cg01233922,SND1
cg01234133,COL1A1
cg01234984,CUX1
cg01235203,BCL6
cg01236299,GAS7
cg01239651,PIK3R1
cg01240724,FGFR2
cg01240931,APC
cg01241450,PRDM16
cg01241836,TFE3
cg01243226,ZRSR2
cg01243968,PTPN13
cg01244944,FAT1
cg01251150,PIK3R1
cg01251360,CDH1
cg01255349,PPFIBP1
cg01255894,GATA3
cg01256882,TERT
cg01261194,PRDM16
cg01264332,CCND2
cg01265860,RUNX1
cg01269083,SS18L1
cg01269191,KRAS
cg01270378,ETV5
cg01271641,XPO1
cg01276616,EML4
cg01277372,MECOM
cg01280080,ATIC
cg01280366,BCORL1
cg01281601,MYH11
cg01285501,HOXA9
cg01286950,AFF3
cg01287079,FOXO3
cg01288350,TSC2
cg01288724,ARHGAP26
cg01289861,VHL
cg01291381,MKL1
cg01291404,COL2A1
cg01291544,MAP2K2
cg01293532,PDGFB
cg01294198,ZBTB16
cg01294253,BRD3
cg01298374,PPFIBP1
cg01301326,BCOR
cg01305547,WHSC1
cg01307359,HSP90AB1
cg01310482,CUX1
cg01312837,CREBBP
cg01313320,EPAS1
cg01315067,NCOA4
cg01316550,MAP3K1
cg01318188,STAG2
cg01318691,CAMTA1
cg01321830,BCOR
cg01321962,ESR1
cg01323104,AFF1
cg01330312,NCOA4
cg01330880,SOCS1
cg01331540,FOXP1
cg01332151,U2AF1
cg01334504,U2AF1
cg01334549,NFATC2
cg01335372,SLC34A2
cg01337293,RUNX1
cg01337508,STAT3
cg01337940,FAT1
cg01338705,ARID1B
cg01340163,KDR
cg01340520,BCOR
cg01341572,HNF1A
cg01344243,GRIN2A
cg01347048,SUFU
cg01348055,GRIN2A
cg01349053,FBXW7
cg01351032,CIITA
cg01351089,MYD88
cg01352076,MLLT4
cg01353809,ARID2
cg01354473,HOXA9
cg01356198,LPP
cg01356824,SH2B3
cg01357263,BCL7A
cg01357409,NFE2L2
cg01363170,HOXA13
cg01364478,PRRX1
cg01366470,NCOR2
cg01366670,CBFA2T3
cg01366698,RHOA
cg01367627,TRRAP
cg01368799,PAFAH1B2
cg01369082,LIFR
cg01369646,MYB
cg01373292,CAMTA1
cg01377358,ASXL1
cg01380346,ELL
cg01381846,HOXA9
cg01383349,CREBBP
cg01384290,MECOM
cg01385327,FGFR2
cg01386883,CACNA1D
cg01390647,CCND1
cg01392772,HLF
cg01394199,HNF1A
cg01395424,TERT
cg01397469,CUX1
cg01400924,NCOR2
cg01400952,BCL7A
cg01404893,CBFA2T3
cg01406280,CCND1
cg01407900,HERPUD1
cg01408432,CYLD
cg01410415,ASPSCR1
cg01411845,DDX3X
cg01411892,PDGFRA
cg01412654,PPARG
cg01412762,ALK
cg01413848,PRDM16
cg01416712,PHOX2B
cg01418153,PRDM16
cg01424107,CDX2
cg01425479,SFPQ
cg01428678,GPHN
cg01431482,PRDM16
cg01431830,NTRK1
cg01434611,AXIN2
cg01436159,ASPSCR1
cg01436424,CAMTA1
cg01436586,HRAS
cg01437571,CEBPA
cg01438892,REL
cg01439078,ERBB4
cg01439566,ZBTB16
cg01441387,NTRK1
cg01443067,USP8
cg01444501,AXIN1
cg01446895,SH2B3
cg01446983,SPOP
cg01447748,EPS15
cg01447902,ELL
cg01448098,PRDM16
cg01451391,HLF
cg01454936,FAT1
cg01455178,SLC45A3
cg01460969,STRN
cg01461514,EGFR
cg01466121,CASP8
cg01470356,PHOX2B
cg01474781,AFF3
cg01475577,SMO
cg01477835,AFF1
cg01478179,FAT1
cg01483139,FAT1
cg01483832,NFKB2
cg01484950,ARID1B
cg01485645,MLLT6
cg01485790,NCOR2
cg01490258,BCOR
cg01493009,FOXO1
cg01493016,SLC34A2
cg01493658,ABL1
cg01496720,KLF6
cg01499197,CDX2
cg01501309,CHD4
cg01502743,CRTC1
cg01509451,WHSC1
cg01510153,BRAF
cg01511742,FOXP1
cg01512589,PTCH1
cg01513714,BCL11B
cg01514943,BCOR
cg01517185,AXIN1
cg01517962,PRDM16
cg01518631,NFIB
cg01518889,GATA2
cg01519017,FHIT
cg01519261,RUNX1
cg01519765,ETV5
cg01521674,TRIM27
cg01522249,BCOR
cg01522692,GATA3
cg01522970,SPEN
cg01523772,ASPSCR1
cg01525376,LCK
cg01528349,PTPRB
cg01528425,APC
cg01533689,CIITA
cg01534217,FOXP1
cg01534572,CBFA2T3
cg01534608,FAT1
cg01534808,FLI1
cg01535838,CAMTA1
cg01536668,CREBBP
cg01538165,NCOA2
cg01538522,GNAS
cg01541650,ARID1B
cg01546430,ITK
cg01550397,CAMTA1
cg01551441,EBF1
cg01554357,PBX1
cg01556706,FHIT
cg01558195,CUX1
cg01560422,PSIP1
cg01564322,KLF4
cg01565343,BCL9L
cg01565918,GNAS
cg01568998,PREX2
cg01577751,HOXC13
cg01585180,FAT1
cg01586432,KEAP1
cg01591591,CREBBP
cg01592263,MAP2K2
cg01593886,COL1A1
cg01595204,TCF3
cg01596520,PRKACA
cg01598367,TRIM27
cg01598596,BCL6
cg01598741,HMGA2
cg01600529,BCL11A
cg01601628,CD74
cg01602001,CDH11
cg01602345,PRDM16
cg01604628,TCF7L2
cg01609705,WHSC1L1
cg01612158,FCRL4
cg01613122,SFRP4
cg01613817,ERG
cg01614864,XPO1
cg01616489,POLE
cg01616628,BCL11A
cg01621268,HIP1
cg01622965,TRRAP
cg01623343,AXIN1
cg01623627,ERBB3
cg01624571,SMAD3
cg01625368,LMO2
cg01627594,EZR
cg01629126,PIM1
cg01631375,ELL
cg01632825,CLTCL1
cg01634964,SMARCA4
cg01636300,TRAF7
cg01636910,BCL10
cg01637289,BCL9L
cg01638735,CDK6
cg01643090,CAMTA1
cg01643441,MAX
cg01646516,CYLD
cg01647724,PRDM16
cg01649623,AFF3
cg01652665,NKX2-1
cg01655703,PTPN11
cg01662117,FOXA1
cg01664670,MAFB
cg01664727,RUNX1
cg01667493,CUX1
cg01671314,MYB
cg01671785,SMAD3
cg01677098,TCEA1
cg01677987,AXIN1
cg01678383,LPP
cg01678893,CALR
cg01678913,ZFHX3
cg01680667,HERPUD1
cg01681098,FLI1
cg01682285,TSHR
cg01683373,LPP
cg01684175,FOXO1
cg01687453,LASP1
cg01689029,PIM1
cg01689311,SFRP4
cg01690687,ACVR1
cg01693090,ETV4
cg01693350,WT1
cg01694276,AKT1
cg01694400,RSPO3
cg01695532,STRN
cg01696984,MAP3K13
cg01699425,FUS
cg01699906,MAML2
cg01702820,SETD2
cg01708014,NIN
cg01708236,NFKBIE
cg01708273,HOXD11
cg01709189,PRDM16
cg01709543,TRRAP
cg01710852,SMAD3
cg01712159,CBFA2T3
cg01712425,GOPC
cg01713250,PRDM16
cg01715172,ESR1
cg01715360,DDX6
cg01715499,CAMTA1
cg01716016,CUX1
cg01716603,LASP1
cg01717535,GOPC
cg01717706,SOCS1
cg01718071,TSC2
cg01720795,LPP
cg01722994,GRIN2A
cg01724041,CREB1
cg01725383,RUNX1
cg01738359,RB1
cg01739210,MLLT3
cg01745499,HMGA1
cg01745510,CDKN1B
cg01745726,SMARCB1
cg01748573,GNAS
cg01749142,AKT1
cg01749778,MLLT6
cg01751433,ARID2
cg01753375,DCTN1
cg01753796,PIK3CA
cg01755617,RPL10
cg01755703,ERC1
cg01756060,CDK6
cg01756730,NAB2
cg01761420,PRDM1
cg01763602,CUX1
cg01764808,PDE4DIP
cg01769813,TSC2
cg01770333,RAP1GDS1
cg01772149,PRDM16
cg01773689,PRDM16
cg01773807,TRRAP
cg01774335,RABEP1
cg01777019,ESR1
cg01777678,PRDM16
cg01778974,TCF12
cg01779559,ZFHX3
cg01780482,EPAS1
cg01781223,AFF3
cg01782227,NKX2-1
cg01783650,PRDM16
cg01784548,RAC1
cg01784549,ERC1
cg01787382,MECOM
cg01792902,PIK3CA
cg01793161,MITF
cg01793374,PRDM16
cg01794889,TRIM27
cg01795199,FGFR3
cg01796228,LIFR
cg01796800,MSI2
cg01797036,NCOR2
cg01797257,PAX7
cg01800445,PRDM16
cg01803238,BCL2
cg01804183,IL7R
cg01806442,LASP1
cg01806722,MAML2
cg01808736,SDHA
cg01811378,NOTCH2
cg01811895,CBLB
cg01812927,NCOR2
cg01816748,PDGFRB
cg01816775,MYH9
cg01817393,GNAS
cg01818860,RAD21
cg01819568,KIT
cg01821684,RAC1
cg01821772,RBM10
cg01824511,FOXA1
cg01827012,TRRAP
cg01828328,NDRG1
cg01829129,ETV5
cg01829657,CBFA2T3
cg01831767,SH2B3
cg01833143,RSPO2
cg01833417,ATP1A1
cg01839430,ATIC
cg01839657,HOXC13
cg01843131,DDX10
cg01849845,ERC1
cg01851874,RUNX1T1
cg01852049,CRTC3
cg01852095,LRP1B
cg01852715,USP8
cg01853974,FOXO3
cg01856985,ZNF384
cg01857829,CDH1
cg01858014,KTN1
cg01858923,MAX
cg01859586,KDM5C
cg01861096,CLTCL1
cg01865786,BCL11A
cg01866148,FGFR1
cg01866162,CTCF
cg01872660,CIITA
cg01874562,CRTC1
cg01875596,ZNF521
cg01879473,PAX3
cg01879757,BRCA1
cg01880399,FAT1
cg01885050,FOXO1
cg01888389,KDM6A
cg01890075,CUX1
cg01891966,HOXA9
cg01892516,FOXA1
cg01892874,MLF1
cg01893041,PIK3R1
cg01893439,EZH2
cg01893963,DAXX
cg01900030,CDK6
cg01901579,DICER1
cg01903185,FGFR3
cg01904007,CLIP1
cg01906102,SSX1
cg01906695,COL2A1
cg01906946,BCOR
cg01907658,AFF4
cg01909160,PRDM16
cg01909487,JUN
cg01909856,NOTCH1
cg01910249,MYO5A
cg01912455,SMARCB1
cg01913436,PRDM16
cg01914181,ZBTB16
cg01917626,NR4A3
cg01919912,CAMTA1
cg01921059,MET
cg01921845,AKT1
cg01923429,EZR
cg01924448,NFIB
cg01925597,TRRAP
cg01928896,TRIM27
cg01929285,AXIN1
cg01929340,GAS7
cg01929770,PTPN11
cg01931958,ERC1
cg01932308,PRDM16
cg01938422,SFPQ
cg01939597,ETV6
cg01940181,PRDM16
cg01940508,RABEP1
cg01941585,HMGA2
cg01942127,CACNA1D
cg01942254,HNF1A
cg01943873,ACVR1
cg01947066,PML
cg01950479,BCR
cg01951637,CBFA2T3
cg01952473,TSC2
cg01956267,ACVR1
